Annual FOIA Report Raw Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAB ,2024-13,N,,N/A,n/a,n/a,1/26/2024,2/14/2024,2/14/2024,0,13,Full Denial Other-- No Records,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-14,N,,N/A,n/a,n/a,1/26/2024,2/23/2024,2/23/2024,0,19,Full Denial Other-- No Records,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-15,N,,N/A,n/a,n/a,1/26/2024,2/21/2024,2/21/2024,0,17,Full Denial Other-- No Records,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-16,N,,N/A,n/a,n/a,1/26/2024,2/8/2024,2/8/2024,0,9,Full Grant,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-17,N,,N/A,n/a,n/a,1/26/2024,2/8/2024,2/8/2024,0,9,Full Denial Other-- No Records,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-18,N,,N/A,n/a,n/a,1/27/2024,3/20/2024,3/20/2024,0,36,Full Grant,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-19,N,,N/A,n/a,n/a,1/27/2024,2/23/2024,2/23/2024,0,18,Partial Grant/Denial,(b)(6) ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-20,N,,N/A,n/a,n/a,1/27/2024,2/23/2024,2/23/2024,0,18,Full Denial Other-- No Records,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-21,N,,N/A,n/a,n/a,1/27/2024,2/23/2024,2/23/2024,0,13,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-22,N,,N/A,n/a,n/a,1/27/2024,2/15/2024,2/15/2024,0,20,Full Grant,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-23,N,,N/A,n/a,n/a,3/1/2024,3/29/2024,3/29/2024,0,29,Full Denial Based on Exemption,,(b)(5) ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-24,N,,N/A,n/a,n/a,3/19/2024,4/29/2024,4/29/2024,0,4,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-25,N,,N/A,n/a,n/a,3/25/2024,3/29/2024,3/29/2024,0,44,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-26,N,,N/A,n/a,n/a,3/25/2024,5/24/2024,5/24/2024,0,23,Partial Grant/Denial,,(b)(6) ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-27,,,,,,3/25/2024,4/25/2024,4/25/2024,0,20,Full Denial Based on Exemption,,Exemption 3 (42 USC 2000e-5(b) and 42 USC 2000e-8(e),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-28,N,,N/A,n/a,n/a,4/4/2024,5/2/2024,5/2/2024,0,>1,Full Denial Other-- No Records,No records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-29,N,,N/A,n/a,n/a,5/2/2024,5/2/2024,5/2/2024,0,11,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-30,N,,N/A,n/a,n/a,5/17/2024,6/4/2024,6/4/2024,0,91,Full Grant,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-31,N,,N/A,n/a,n/a,5/20/2024,9/30/2024,9/30/2024,0,6,Partial Grant/Denial,, (b)(5); (b)(6),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-32,N,,N/A,n/a,n/a,6/14/2024,6/25/2024,6/25/2024,0,5,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-33,N,,N/A,n/a,n/a,6/17/2024,6/25/2024,6/25/2024,0,33,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-34,N,,N/A,n/a,n/a,6/17/2024,6/25/2024,6/25/2024,0,57,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-35,N,,N/A,n/a,n/a,6/20/2024,8/7/2024,8/7/2024,0,79,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-36,N,,N/A,n/a,n/a,7/10/2024,9/30/2024,9/30/2024,0,3,Partial Grant/Denial,,(b)(6),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-37,N,,N/A,n/a,n/a,6/6/2024,9/30/2024,9/30/2024,0,26,Full Grant,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-38,N,,N/A,n/a,n/a,8/5/2024,8/8/2024,8/8/2024,0,15,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-39,N,,N/A,n/a,n/a,8/16/2024,9/24/2024,9/24/2024,0,26,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-40,N,,N/A,n/a,n/a,9/3/2024,9/24/2024,9/24/2024,0,15,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-41,N,,N/A,n/a,n/a,9/24/2024,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-42,N,,N/A,n/a,n/a,9/24/2024,10/21/2024,10/21/2024,0,18,Full Denial Other-- No Records,No Records,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
